file,start,end,label
synth_dataset_clean.wav,0.050,3.250,C
synth_dataset_eob.wav,0.050,3.250,C
synth_dataset_clean.wav,6.050,9.250,C#
synth_dataset_eob.wav,6.050,9.250,C#
synth_dataset_clean.wav,12.050,15.250,D
synth_dataset_eob.wav,12.050,15.250,D
synth_dataset_clean.wav,18.050,21.250,D#
synth_dataset_eob.wav,18.050,21.250,D#
synth_dataset_clean.wav,24.050,27.250,E
synth_dataset_eob.wav,24.050,27.250,E
synth_dataset_clean.wav,30.050,33.250,E
synth_dataset_eob.wav,30.050,33.250,E
synth_dataset_clean.wav,36.050,39.250,F
synth_dataset_eob.wav,36.050,39.250,F
synth_dataset_clean.wav,42.050,45.250,F
synth_dataset_eob.wav,42.050,45.250,F
synth_dataset_clean.wav,48.050,51.250,F#
synth_dataset_eob.wav,48.050,51.250,F#
synth_dataset_clean.wav,54.050,57.250,G
synth_dataset_eob.wav,54.050,57.250,G
synth_dataset_clean.wav,60.050,63.250,G#
synth_dataset_eob.wav,60.050,63.250,G#
synth_dataset_clean.wav,66.050,69.250,A
synth_dataset_eob.wav,66.050,69.250,A
synth_dataset_clean.wav,72.050,75.250,A#
synth_dataset_eob.wav,72.050,75.250,A#
synth_dataset_clean.wav,78.050,81.250,B
synth_dataset_eob.wav,78.050,81.250,B
synth_dataset_clean.wav,84.050,87.250,C
synth_dataset_eob.wav,84.050,87.250,C
synth_dataset_clean.wav,90.050,93.250,C#
synth_dataset_eob.wav,90.050,93.250,C#
synth_dataset_clean.wav,96.050,99.250,D
synth_dataset_eob.wav,96.050,99.250,D
synth_dataset_clean.wav,102.050,105.250,D#
synth_dataset_eob.wav,102.050,105.250,D#
synth_dataset_clean.wav,108.050,111.250,E
synth_dataset_eob.wav,108.050,111.250,E
synth_dataset_clean.wav,114.050,117.250,F
synth_dataset_eob.wav,114.050,117.250,F
synth_dataset_clean.wav,120.050,123.250,F#
synth_dataset_eob.wav,120.050,123.250,F#
synth_dataset_clean.wav,126.050,129.250,G
synth_dataset_eob.wav,126.050,129.250,G
synth_dataset_clean.wav,132.050,135.250,G#
synth_dataset_eob.wav,132.050,135.250,G#
synth_dataset_clean.wav,138.050,141.250,A
synth_dataset_eob.wav,138.050,141.250,A
synth_dataset_clean.wav,144.050,147.250,A
synth_dataset_eob.wav,144.050,147.250,A
synth_dataset_clean.wav,150.050,153.250,A#
synth_dataset_eob.wav,150.050,153.250,A#
synth_dataset_clean.wav,156.050,159.250,A#
synth_dataset_eob.wav,156.050,159.250,A#
synth_dataset_clean.wav,162.050,165.250,B
synth_dataset_eob.wav,162.050,165.250,B
synth_dataset_clean.wav,168.050,171.250,Cm
synth_dataset_eob.wav,168.050,171.250,Cm
synth_dataset_clean.wav,174.050,177.250,C#m
synth_dataset_eob.wav,174.050,177.250,C#m
synth_dataset_clean.wav,180.050,183.250,Dm
synth_dataset_eob.wav,180.050,183.250,Dm
synth_dataset_clean.wav,186.050,189.250,D#m
synth_dataset_eob.wav,186.050,189.250,D#m
synth_dataset_clean.wav,192.050,195.250,Em
synth_dataset_eob.wav,192.050,195.250,Em
synth_dataset_clean.wav,198.050,201.250,Em
synth_dataset_eob.wav,198.050,201.250,Em
synth_dataset_clean.wav,204.050,207.250,Fm
synth_dataset_eob.wav,204.050,207.250,Fm
synth_dataset_clean.wav,210.050,213.250,Fm
synth_dataset_eob.wav,210.050,213.250,Fm
synth_dataset_clean.wav,216.050,219.250,F#m
synth_dataset_eob.wav,216.050,219.250,F#m
synth_dataset_clean.wav,222.050,225.250,Gm
synth_dataset_eob.wav,222.050,225.250,Gm
synth_dataset_clean.wav,228.050,231.250,G#m
synth_dataset_eob.wav,228.050,231.250,G#m
synth_dataset_clean.wav,234.050,237.250,Am
synth_dataset_eob.wav,234.050,237.250,Am
synth_dataset_clean.wav,240.050,243.250,A#m
synth_dataset_eob.wav,240.050,243.250,A#m
synth_dataset_clean.wav,246.050,249.250,Bm
synth_dataset_eob.wav,246.050,249.250,Bm
synth_dataset_clean.wav,252.050,255.250,Cm
synth_dataset_eob.wav,252.050,255.250,Cm
synth_dataset_clean.wav,258.050,261.250,C#m
synth_dataset_eob.wav,258.050,261.250,C#m
synth_dataset_clean.wav,264.050,267.250,Dm
synth_dataset_eob.wav,264.050,267.250,Dm
synth_dataset_clean.wav,270.050,273.250,D#m
synth_dataset_eob.wav,270.050,273.250,D#m
synth_dataset_clean.wav,276.050,279.250,Em
synth_dataset_eob.wav,276.050,279.250,Em
synth_dataset_clean.wav,282.050,285.250,Fm
synth_dataset_eob.wav,282.050,285.250,Fm
synth_dataset_clean.wav,288.050,291.250,F#m
synth_dataset_eob.wav,288.050,291.250,F#m
synth_dataset_clean.wav,294.050,297.250,Gm
synth_dataset_eob.wav,294.050,297.250,Gm
synth_dataset_clean.wav,300.050,303.250,G#m
synth_dataset_eob.wav,300.050,303.250,G#m
synth_dataset_clean.wav,306.050,309.250,Am
synth_dataset_eob.wav,306.050,309.250,Am
synth_dataset_clean.wav,312.050,315.250,Am
synth_dataset_eob.wav,312.050,315.250,Am
synth_dataset_clean.wav,318.050,321.250,A#m
synth_dataset_eob.wav,318.050,321.250,A#m
synth_dataset_clean.wav,324.050,327.250,A#m
synth_dataset_eob.wav,324.050,327.250,A#m
synth_dataset_clean.wav,330.050,333.250,Bm
synth_dataset_eob.wav,330.050,333.250,Bm
synth_dataset_clean.wav,336.050,339.250,C Maj7
synth_dataset_eob.wav,336.050,339.250,C Maj7
synth_dataset_clean.wav,342.050,345.250,C# Maj7
synth_dataset_eob.wav,342.050,345.250,C# Maj7
synth_dataset_clean.wav,348.050,351.250,D Maj7
synth_dataset_eob.wav,348.050,351.250,D Maj7
