id,label,kind,strings,frets
0,C,maj,6 5 4 3 2 1,8 10 10 9 8 8
1,C#,maj,6 5 4 3 2 1,9 11 11 10 9 9
2,D,maj,6 5 4 3 2 1,10 12 12 11 10 10
3,D#,maj,6 5 4 3 2 1,11 13 13 12 11 11
4,E,maj,6 5 4 3 2 1,0 2 2 1 0 0
5,E,maj,6 5 4 3 2 1,12 14 14 13 12 12
6,F,maj,6 5 4 3 2 1,1 3 3 2 1 1
7,F,maj,6 5 4 3 2 1,13 15 15 14 13 13
8,F#,maj,6 5 4 3 2 1,2 4 4 3 2 2
9,G,maj,6 5 4 3 2 1,3 5 5 4 3 3
10,G#,maj,6 5 4 3 2 1,4 6 6 5 4 4
11,A,maj,6 5 4 3 2 1,5 7 7 6 5 5
12,A#,maj,6 5 4 3 2 1,6 8 8 7 6 6
13,B,maj,6 5 4 3 2 1,7 9 9 8 7 7
14,C,maj,5 4 3 2,3 5 5 5
15,C#,maj,5 4 3 2,4 6 6 6
16,D,maj,5 4 3 2,5 7 7 7
17,D#,maj,5 4 3 2,6 8 8 8
18,E,maj,5 4 3 2,7 9 9 9
19,F,maj,5 4 3 2,8 10 10 10
20,F#,maj,5 4 3 2,9 11 11 11
21,G,maj,5 4 3 2,10 12 12 12
22,G#,maj,5 4 3 2,11 13 13 13
23,A,maj,5 4 3 2,0 2 2 2
24,A,maj,5 4 3 2,12 14 14 14
25,A#,maj,5 4 3 2,1 3 3 3
26,A#,maj,5 4 3 2,13 15 15 15
27,B,maj,5 4 3 2,2 4 4 4
28,Cm,min,6 5 4 3 2 1,8 10 10 8 8 8
29,C#m,min,6 5 4 3 2 1,9 11 11 9 9 9
30,Dm,min,6 5 4 3 2 1,10 12 12 10 10 10
31,D#m,min,6 5 4 3 2 1,11 13 13 11 11 11
32,Em,min,6 5 4 3 2 1,0 2 2 0 0 0
33,Em,min,6 5 4 3 2 1,12 14 14 12 12 12
34,Fm,min,6 5 4 3 2 1,1 3 3 1 1 1
35,Fm,min,6 5 4 3 2 1,13 15 15 13 13 13
36,F#m,min,6 5 4 3 2 1,2 4 4 2 2 2
37,Gm,min,6 5 4 3 2 1,3 5 5 3 3 3
38,G#m,min,6 5 4 3 2 1,4 6 6 4 4 4
39,Am,min,6 5 4 3 2 1,5 7 7 5 5 5
40,A#m,min,6 5 4 3 2 1,6 8 8 6 6 6
41,Bm,min,6 5 4 3 2 1,7 9 9 7 7 7
42,Cm,min,5 4 3 2,3 5 5 4
43,C#m,min,5 4 3 2,4 6 6 5
44,Dm,min,5 4 3 2,5 7 7 6
45,D#m,min,5 4 3 2,6 8 8 7
46,Em,min,5 4 3 2,7 9 9 8
47,Fm,min,5 4 3 2,8 10 10 9
48,F#m,min,5 4 3 2,9 11 11 10
49,Gm,min,5 4 3 2,10 12 12 11
50,G#m,min,5 4 3 2,11 13 13 12
51,Am,min,5 4 3 2,0 2 2 1
52,Am,min,5 4 3 2,12 14 14 13
53,A#m,min,5 4 3 2,1 3 3 2
54,A#m,min,5 4 3 2,13 15 15 14
55,Bm,min,5 4 3 2,2 4 4 3
56,C Maj7,maj7,6 4 3 2,8 9 9 8
57,C# Maj7,maj7,6 4 3 2,9 10 10 9
58,D Maj7,maj7,6 4 3 2,10 11 11 10
59,D# Maj7,maj7,6 4 3 2,11 12 12 11
60,E Maj7,maj7,6 4 3 2,0 1 1 0
61,E Maj7,maj7,6 4 3 2,12 13 13 12
62,F Maj7,maj7,6 4 3 2,1 2 2 1
63,F Maj7,maj7,6 4 3 2,13 14 14 13
64,F# Maj7,maj7,6 4 3 2,2 3 3 2
65,F# Maj7,maj7,6 4 3 2,14 15 15 14
66,G Maj7,maj7,6 4 3 2,3 4 4 3
67,G# Maj7,maj7,6 4 3 2,4 5 5 4
68,A Maj7,maj7,6 4 3 2,5 6 6 5
69,A# Maj7,maj7,6 4 3 2,6 7 7 6
70,B Maj7,maj7,6 4 3 2,7 8 8 7
71,C Maj7,maj7,5 4 3 2,3 5 4 5
72,C# Maj7,maj7,5 4 3 2,4 6 5 6
73,D Maj7,maj7,5 4 3 2,5 7 6 7
74,D# Maj7,maj7,5 4 3 2,6 8 7 8
75,E Maj7,maj7,5 4 3 2,7 9 8 9
76,F Maj7,maj7,5 4 3 2,8 10 9 10
77,F# Maj7,maj7,5 4 3 2,9 11 10 11
78,G Maj7,maj7,5 4 3 2,10 12 11 12
79,G# Maj7,maj7,5 4 3 2,11 13 12 13
80,A Maj7,maj7,5 4 3 2,0 2 1 2
81,A Maj7,maj7,5 4 3 2,12 14 13 14
82,A# Maj7,maj7,5 4 3 2,1 3 2 3
83,A# Maj7,maj7,5 4 3 2,13 15 14 15
84,B Maj7,maj7,5 4 3 2,2 4 3 4
85,C 7,dom7,6 4 3 2,8 8 9 8
86,C# 7,dom7,6 4 3 2,9 9 10 9
87,D 7,dom7,6 4 3 2,10 10 11 10
88,D# 7,dom7,6 4 3 2,11 11 12 11
89,E 7,dom7,6 4 3 2,0 0 1 0
90,E 7,dom7,6 4 3 2,12 12 13 12
91,F 7,dom7,6 4 3 2,1 1 2 1
92,F 7,dom7,6 4 3 2,13 13 14 13
93,F# 7,dom7,6 4 3 2,2 2 3 2
94,F# 7,dom7,6 4 3 2,14 14 15 14
95,G 7,dom7,6 4 3 2,3 3 4 3
96,G# 7,dom7,6 4 3 2,4 4 5 4
97,A 7,dom7,6 4 3 2,5 5 6 5
98,A# 7,dom7,6 4 3 2,6 6 7 6
99,B 7,dom7,6 4 3 2,7 7 8 7
100,C 7,dom7,5 4 3 2,3 5 3 5
101,C# 7,dom7,5 4 3 2,4 6 4 6
102,D 7,dom7,5 4 3 2,5 7 5 7
103,D# 7,dom7,5 4 3 2,6 8 6 8
104,E 7,dom7,5 4 3 2,7 9 7 9
105,F 7,dom7,5 4 3 2,8 10 8 10
106,F# 7,dom7,5 4 3 2,9 11 9 11
107,G 7,dom7,5 4 3 2,10 12 10 12
108,G# 7,dom7,5 4 3 2,11 13 11 13
109,A 7,dom7,5 4 3 2,0 2 0 2
110,A 7,dom7,5 4 3 2,12 14 12 14
111,A# 7,dom7,5 4 3 2,1 3 1 3
112,A# 7,dom7,5 4 3 2,13 15 13 15
113,B 7,dom7,5 4 3 2,2 4 2 4
114,C m7,min7,6 4 3 2,8 8 8 8
115,C# m7,min7,6 4 3 2,9 9 9 9
116,D m7,min7,6 4 3 2,10 10 10 10
117,D# m7,min7,6 4 3 2,11 11 11 11
118,E m7,min7,6 4 3 2,0 0 0 0
119,E m7,min7,6 4 3 2,12 12 12 12
120,F m7,min7,6 4 3 2,1 1 1 1
121,F m7,min7,6 4 3 2,13 13 13 13
122,F# m7,min7,6 4 3 2,2 2 2 2
123,F# m7,min7,6 4 3 2,14 14 14 14
124,G m7,min7,6 4 3 2,3 3 3 3
125,G m7,min7,6 4 3 2,15 15 15 15
126,G# m7,min7,6 4 3 2,4 4 4 4
127,A m7,min7,6 4 3 2,5 5 5 5
128,A# m7,min7,6 4 3 2,6 6 6 6
129,B m7,min7,6 4 3 2,7 7 7 7
130,C m7,min7,5 4 3 2,3 5 3 4
131,C# m7,min7,5 4 3 2,4 6 4 5
132,D m7,min7,5 4 3 2,5 7 5 6
133,D# m7,min7,5 4 3 2,6 8 6 7
134,E m7,min7,5 4 3 2,7 9 7 8
135,F m7,min7,5 4 3 2,8 10 8 9
136,F# m7,min7,5 4 3 2,9 11 9 10
137,G m7,min7,5 4 3 2,10 12 10 11
138,G# m7,min7,5 4 3 2,11 13 11 12
139,A m7,min7,5 4 3 2,0 2 0 1
140,A m7,min7,5 4 3 2,12 14 12 13
141,A# m7,min7,5 4 3 2,1 3 1 2
142,A# m7,min7,5 4 3 2,13 15 13 14
143,B m7,min7,5 4 3 2,2 4 2 3
144,C m7b5,m7b5,6 4 3 2,8 8 8 7
145,C# m7b5,m7b5,6 4 3 2,9 9 9 8
146,D m7b5,m7b5,6 4 3 2,10 10 10 9
147,D# m7b5,m7b5,6 4 3 2,11 11 11 10
148,E m7b5,m7b5,6 4 3 2,12 12 12 11
149,F m7b5,m7b5,6 4 3 2,1 1 1 0
150,F m7b5,m7b5,6 4 3 2,13 13 13 12
151,F# m7b5,m7b5,6 4 3 2,2 2 2 1
152,F# m7b5,m7b5,6 4 3 2,14 14 14 13
153,G m7b5,m7b5,6 4 3 2,3 3 3 2
154,G m7b5,m7b5,6 4 3 2,15 15 15 14
155,G# m7b5,m7b5,6 4 3 2,4 4 4 3
156,A m7b5,m7b5,6 4 3 2,5 5 5 4
157,A# m7b5,m7b5,6 4 3 2,6 6 6 5
158,B m7b5,m7b5,6 4 3 2,7 7 7 6
159,C m7b5,m7b5,5 4 3 2,3 4 3 4
160,C# m7b5,m7b5,5 4 3 2,4 5 4 5
161,D m7b5,m7b5,5 4 3 2,5 6 5 6
162,D# m7b5,m7b5,5 4 3 2,6 7 6 7
163,E m7b5,m7b5,5 4 3 2,7 8 7 8
164,F m7b5,m7b5,5 4 3 2,8 9 8 9
165,F# m7b5,m7b5,5 4 3 2,9 10 9 10
166,G m7b5,m7b5,5 4 3 2,10 11 10 11
167,G# m7b5,m7b5,5 4 3 2,11 12 11 12
168,A m7b5,m7b5,5 4 3 2,0 1 0 1
169,A m7b5,m7b5,5 4 3 2,12 13 12 13
170,A# m7b5,m7b5,5 4 3 2,1 2 1 2
171,A# m7b5,m7b5,5 4 3 2,13 14 13 14
172,B m7b5,m7b5,5 4 3 2,2 3 2 3
173,B m7b5,m7b5,5 4 3 2,14 15 14 15
174,C dim7,dim7,6 4 3 2,8 7 8 7
175,C# dim7,dim7,6 4 3 2,9 8 9 8
176,D dim7,dim7,6 4 3 2,10 9 10 9
177,D# dim7,dim7,6 4 3 2,11 10 11 10
178,E dim7,dim7,6 4 3 2,12 11 12 11
179,F dim7,dim7,6 4 3 2,1 0 1 0
180,F dim7,dim7,6 4 3 2,13 12 13 12
181,F# dim7,dim7,6 4 3 2,2 1 2 1
182,F# dim7,dim7,6 4 3 2,14 13 14 13
183,G dim7,dim7,6 4 3 2,3 2 3 2
184,G dim7,dim7,6 4 3 2,15 14 15 14
185,G# dim7,dim7,6 4 3 2,4 3 4 3
186,A dim7,dim7,6 4 3 2,5 4 5 4
187,A# dim7,dim7,6 4 3 2,6 5 6 5
188,B dim7,dim7,6 4 3 2,7 6 7 6
189,C dim7,dim7,5 4 3 2,3 4 2 4
190,C# dim7,dim7,5 4 3 2,4 5 3 5
191,D dim7,dim7,5 4 3 2,5 6 4 6
192,D# dim7,dim7,5 4 3 2,6 7 5 7
193,E dim7,dim7,5 4 3 2,7 8 6 8
194,F dim7,dim7,5 4 3 2,8 9 7 9
195,F# dim7,dim7,5 4 3 2,9 10 8 10
196,G dim7,dim7,5 4 3 2,10 11 9 11
197,G# dim7,dim7,5 4 3 2,11 12 10 12
198,A dim7,dim7,5 4 3 2,12 13 11 13
199,A# dim7,dim7,5 4 3 2,1 2 0 2
200,A# dim7,dim7,5 4 3 2,13 14 12 14
201,B dim7,dim7,5 4 3 2,2 3 1 3
202,B dim7,dim7,5 4 3 2,14 15 13 15
203,C,maj,4 3 2 1,10 12 13 12
204,C#,maj,4 3 2 1,11 13 14 13
205,D,maj,4 3 2 1,0 2 3 2
206,D,maj,4 3 2 1,12 14 15 14
207,D#,maj,4 3 2 1,1 3 4 3
208,E,maj,4 3 2 1,2 4 5 4
209,F,maj,4 3 2 1,3 5 6 5
210,F#,maj,4 3 2 1,4 6 7 6
211,G,maj,4 3 2 1,5 7 8 7
212,G#,maj,4 3 2 1,6 8 9 8
213,A,maj,4 3 2 1,7 9 10 9
214,A#,maj,4 3 2 1,8 10 11 10
215,B,maj,4 3 2 1,9 11 12 11
216,Cm,min,4 3 2 1,10 12 13 11
217,C#m,min,4 3 2 1,11 13 14 12
218,Dm,min,4 3 2 1,0 2 3 1
219,Dm,min,4 3 2 1,12 14 15 13
220,D#m,min,4 3 2 1,1 3 4 2
221,Em,min,4 3 2 1,2 4 5 3
222,Fm,min,4 3 2 1,3 5 6 4
223,F#m,min,4 3 2 1,4 6 7 5
224,Gm,min,4 3 2 1,5 7 8 6
225,G#m,min,4 3 2 1,6 8 9 7
226,Am,min,4 3 2 1,7 9 10 8
227,A#m,min,4 3 2 1,8 10 11 9
228,Bm,min,4 3 2 1,9 11 12 10
229,C Maj7,maj7,4 3 2 1,10 12 12 12
230,C# Maj7,maj7,4 3 2 1,11 13 13 13
231,D Maj7,maj7,4 3 2 1,0 2 2 2
232,D Maj7,maj7,4 3 2 1,12 14 14 14
233,D# Maj7,maj7,4 3 2 1,1 3 3 3
234,D# Maj7,maj7,4 3 2 1,13 15 15 15
235,E Maj7,maj7,4 3 2 1,2 4 4 4
236,F Maj7,maj7,4 3 2 1,3 5 5 5
237,F# Maj7,maj7,4 3 2 1,4 6 6 6
238,G Maj7,maj7,4 3 2 1,5 7 7 7
239,G# Maj7,maj7,4 3 2 1,6 8 8 8
240,A Maj7,maj7,4 3 2 1,7 9 9 9
241,A# Maj7,maj7,4 3 2 1,8 10 10 10
242,B Maj7,maj7,4 3 2 1,9 11 11 11
243,C 7,dom7,4 3 2 1,10 12 11 12
244,C# 7,dom7,4 3 2 1,11 13 12 13
245,D 7,dom7,4 3 2 1,0 2 1 2
246,D 7,dom7,4 3 2 1,12 14 13 14
247,D# 7,dom7,4 3 2 1,1 3 2 3
248,D# 7,dom7,4 3 2 1,13 15 14 15
249,E 7,dom7,4 3 2 1,2 4 3 4
250,F 7,dom7,4 3 2 1,3 5 4 5
251,F# 7,dom7,4 3 2 1,4 6 5 6
252,G 7,dom7,4 3 2 1,5 7 6 7
253,G# 7,dom7,4 3 2 1,6 8 7 8
254,A 7,dom7,4 3 2 1,7 9 8 9
255,A# 7,dom7,4 3 2 1,8 10 9 10
256,B 7,dom7,4 3 2 1,9 11 10 11
257,C m7,min7,4 3 2 1,10 12 11 11
258,C# m7,min7,4 3 2 1,11 13 12 12
259,D m7,min7,4 3 2 1,0 2 1 1
260,D m7,min7,4 3 2 1,12 14 13 13
261,D# m7,min7,4 3 2 1,1 3 2 2
262,D# m7,min7,4 3 2 1,13 15 14 14
263,E m7,min7,4 3 2 1,2 4 3 3
264,F m7,min7,4 3 2 1,3 5 4 4
265,F# m7,min7,4 3 2 1,4 6 5 5
266,G m7,min7,4 3 2 1,5 7 6 6
267,G# m7,min7,4 3 2 1,6 8 7 7
268,A m7,min7,4 3 2 1,7 9 8 8
269,A# m7,min7,4 3 2 1,8 10 9 9
270,B m7,min7,4 3 2 1,9 11 10 10
271,C sus4,sus,6 5 4 3 2 1,8 10 10 10 8 8
272,C# sus4,sus,6 5 4 3 2 1,9 11 11 11 9 9
273,D sus4,sus,6 5 4 3 2 1,10 12 12 12 10 10
274,D# sus4,sus,6 5 4 3 2 1,11 13 13 13 11 11
275,E sus4,sus,6 5 4 3 2 1,0 2 2 2 0 0
276,E sus4,sus,6 5 4 3 2 1,12 14 14 14 12 12
277,F sus4,sus,6 5 4 3 2 1,1 3 3 3 1 1
278,F sus4,sus,6 5 4 3 2 1,13 15 15 15 13 13
279,F# sus4,sus,6 5 4 3 2 1,2 4 4 4 2 2
280,G sus4,sus,6 5 4 3 2 1,3 5 5 5 3 3
281,G# sus4,sus,6 5 4 3 2 1,4 6 6 6 4 4
282,A sus4,sus,6 5 4 3 2 1,5 7 7 7 5 5
283,A# sus4,sus,6 5 4 3 2 1,6 8 8 8 6 6
284,B sus4,sus,6 5 4 3 2 1,7 9 9 9 7 7
285,C aug,aug,6 5 4 3,8 11 10 9
286,C# aug,aug,6 5 4 3,9 12 11 10
287,D aug,aug,6 5 4 3,10 13 12 11
288,D# aug,aug,6 5 4 3,11 14 13 12
289,E aug,aug,6 5 4 3,0 3 2 1
290,E aug,aug,6 5 4 3,12 15 14 13
291,F aug,aug,6 5 4 3,1 4 3 2
292,F# aug,aug,6 5 4 3,2 5 4 3
293,G aug,aug,6 5 4 3,3 6 5 4
294,G# aug,aug,6 5 4 3,4 7 6 5
295,A aug,aug,6 5 4 3,5 8 7 6
296,A# aug,aug,6 5 4 3,6 9 8 7
297,B aug,aug,6 5 4 3,7 10 9 8
298,Note E,note,1,0
299,Note F,note,1,1
300,Note F#,note,1,2
301,Note G,note,1,3
302,Note G#,note,1,4
303,Note A,note,1,5
304,Note A#,note,1,6
305,Note B,note,1,7
306,Note C,note,1,8
307,Note C#,note,1,9
308,Note D,note,1,10
309,Note D#,note,1,11
310,Note E,note,1,12
311,Note F,note,1,13
312,Note F#,note,1,14
313,Note G,note,1,15
314,Note B,note,2,0
315,Note C,note,2,1
316,Note C#,note,2,2
317,Note D,note,2,3
318,Note D#,note,2,4
319,Note E,note,2,5
320,Note F,note,2,6
321,Note F#,note,2,7
322,Note G,note,2,8
323,Note G#,note,2,9
324,Note A,note,2,10
325,Note A#,note,2,11
326,Note B,note,2,12
327,Note C,note,2,13
328,Note C#,note,2,14
329,Note D,note,2,15
330,Note G,note,3,0
331,Note G#,note,3,1
332,Note A,note,3,2
333,Note A#,note,3,3
334,Note B,note,3,4
335,Note C,note,3,5
336,Note C#,note,3,6
337,Note D,note,3,7
338,Note D#,note,3,8
339,Note E,note,3,9
340,Note F,note,3,10
341,Note F#,note,3,11
